"",BBFBOPV.M.N.DE.W1.S121.S1.T.N.FA.O.F._Z.EUR._T._X.N.ALL,BBFBOPV.M.N.DE.W1.S121.S1.T.N.FA.O.F._Z.EUR._T._X.N.ALL_FLAGS,BBFBOPV.M.N.DE.W1.S1.S1.T.D.S._Z._Z._Z.EUR._T._X.N.ALL,BBFBOPV.M.N.DE.W1.S1.S1.T.D.S._Z._Z._Z.EUR._T._X.N.ALL_FLAGS,BBFBOPV.M.N.DE.W1.S1.S1.T.C.S._Z._Z._Z.EUR._T._X.N.ALL,BBFBOPV.M.N.DE.W1.S1.S1.T.C.S._Z._Z._Z.EUR._T._X.N.ALL_FLAGS,BBFBOPV.M.N.DE.W1.S1.S1.T.B.IN1._Z._Z._Z.EUR._T._X.N.ALL,BBFBOPV.M.N.DE.W1.S1.S1.T.B.IN1._Z._Z._Z.EUR._T._X.N.ALL_FLAGS,BBFBOPV.M.N.DE.W1.S1.S1.T.N.FA.O.F._Z.EUR._T._X.N.ALL,BBFBOPV.M.N.DE.W1.S1.S1.T.N.FA.O.F._Z.EUR._T._X.N.ALL_FLAGS,BBFBOPV.M.N.DE.W1.S1.S1.T.D.G._Z._Z._Z.EUR._T._X.N.ALL,BBFBOPV.M.N.DE.W1.S1.S1.T.D.G._Z._Z._Z.EUR._T._X.N.ALL_FLAGS,BBFBOPV.M.N.DE.W1.S1.S1.T.B.IN2._Z._Z._Z.EUR._T._X.N.ALL,BBFBOPV.M.N.DE.W1.S1.S1.T.B.IN2._Z._Z._Z.EUR._T._X.N.ALL_FLAGS,BBFBOPV.M.N.DE.W1.S1P.S1.T.N.FA.O.F._Z.EUR._T._X.N.ALL,BBFBOPV.M.N.DE.W1.S1P.S1.T.N.FA.O.F._Z.EUR._T._X.N.ALL_FLAGS,BBFBOPV.M.N.DE.W1.S1.S1.T.N.FA._T.F._Z.EUR._T._X.N.ALL,BBFBOPV.M.N.DE.W1.S1.S1.T.N.FA._T.F._Z.EUR._T._X.N.ALL_FLAGS,BBFBOPV.M.N.DE.W1.S1.S1.T.C.IN1._Z._Z._Z.EUR._T._X.N.ALL,BBFBOPV.M.N.DE.W1.S1.S1.T.C.IN1._Z._Z._Z.EUR._T._X.N.ALL_FLAGS,BBFBOPV.M.N.DE.W1.S1.S1.T.B.G._Z._Z._Z.EUR._T._X.N.ALL,BBFBOPV.M.N.DE.W1.S1.S1.T.B.G._Z._Z._Z.EUR._T._X.N.ALL_FLAGS,BBFBOPV.M.N.DE.W1.S1.S1.T.N.FA.D.F._Z.EUR._T._X.N.ALL,BBFBOPV.M.N.DE.W1.S1.S1.T.N.FA.D.F._Z.EUR._T._X.N.ALL_FLAGS,BBFBOPV.M.N.DE.W1.S1.S1.T.B.S._Z._Z._Z.EUR._T._X.N.ALL,BBFBOPV.M.N.DE.W1.S1.S1.T.B.S._Z._Z._Z.EUR._T._X.N.ALL_FLAGS,BBFBOPV.M.N.DE.W1.S12T.S1.T.N.FA.O.F._Z.EUR._T._X.N.ALL,BBFBOPV.M.N.DE.W1.S12T.S1.T.N.FA.O.F._Z.EUR._T._X.N.ALL_FLAGS,BBFBOPV.M.N.DE.W1.S121.S1.T.A.FA.R.F._Z.EUR.X1._X.N.ALL,BBFBOPV.M.N.DE.W1.S121.S1.T.A.FA.R.F._Z.EUR.X1._X.N.ALL_FLAGS,BBFBOPV.M.N.DE.W1.S1.S1.T.C.IN2._Z._Z._Z.EUR._T._X.N.ALL,BBFBOPV.M.N.DE.W1.S1.S1.T.C.IN2._Z._Z._Z.EUR._T._X.N.ALL_FLAGS,BBFBOPV.M.N.DE.W1.S1.S1.T.N.FA.P.F._Z.EUR._T.M.N.ALL,BBFBOPV.M.N.DE.W1.S1.S1.T.N.FA.P.F._Z.EUR._T.M.N.ALL_FLAGS,BBFBOPV.M.N.DE.W1.S1.S1.T.C.G._Z._Z._Z.EUR._T._X.N.ALL,BBFBOPV.M.N.DE.W1.S1.S1.T.C.G._Z._Z._Z.EUR._T._X.N.ALL_FLAGS,BBFBOPV.M.N.DE.W1.S1.S1.T.A.FA.F.F7.T.EUR._T.T.N.ALL,BBFBOPV.M.N.DE.W1.S1.S1.T.A.FA.F.F7.T.EUR._T.T.N.ALL_FLAGS,BBFBOPV.M.N.DE.W1.S1.S1.T.B.CA._Z._Z._Z.EUR._T._X.N.ALL,BBFBOPV.M.N.DE.W1.S1.S1.T.B.CA._Z._Z._Z.EUR._T._X.N.ALL_FLAGS,BBFBOPV.M.N.DE.W1.S1.S1.T.N.EO._Z._Z._Z.EUR._T._X.N.ALL,BBFBOPV.M.N.DE.W1.S1.S1.T.N.EO._Z._Z._Z.EUR._T._X.N.ALL_FLAGS,BBFBOPV.M.N.DE.W1.S1.S1.T.B.KA._Z._Z._Z.EUR._T._X.N.ALL,BBFBOPV.M.N.DE.W1.S1.S1.T.B.KA._Z._Z._Z.EUR._T._X.N.ALL_FLAGS,BBFBOPV.M.N.DE.W1.S1.S1.T.D.IN2._Z._Z._Z.EUR._T._X.N.ALL,BBFBOPV.M.N.DE.W1.S1.S1.T.D.IN2._Z._Z._Z.EUR._T._X.N.ALL_FLAGS,BBFBOPV.M.N.DE.W1.S13.S1.T.N.FA.O.F._Z.EUR._T._X.N.ALL,BBFBOPV.M.N.DE.W1.S13.S1.T.N.FA.O.F._Z.EUR._T._X.N.ALL_FLAGS,BBFBOPV.M.N.DE.W1.S1.S1.T.D.IN1._Z._Z._Z.EUR._T._X.N.ALL,BBFBOPV.M.N.DE.W1.S1.S1.T.D.IN1._Z._Z._Z.EUR._T._X.N.ALL_FLAGS
2006-10,-7599.262,,15501.306,,12746.332,,3575.848,,-939.161,,61868.742,,-3167.071,,3911.320,,240.415,,17204.679,,17310.195,,8650.255,,-2754.974,,-3416.516,,-401.240,,2493.292,,-8930.035,,79178.937,,1860.596,,14963.998,,-14688.512,,-35.071,,5660.363,,6165.297,,13628.831,
2006-11,1914.551,,13493.813,,12310.727,,3511.830,,8498.378,,61793.589,,-2627.908,,5830.466,,18011.262,,17770.408,,17410.566,,-740.833,,-1183.086,,8229.967,,101.962,,2817.682,,8087.242,,79204.155,,2064.513,,17111.402,,978.438,,-78.578,,5445.590,,-7476.606,,14258.578,
2006-12,-8864.445,,16389.898,,15952.760,,9675.765,,29271.117,,57850.315,,-3008.980,,-13552.453,,12339.882,,24610.970,,11374.789,,-9228.040,,-437.138,,53966.111,,-342.273,,3014.252,,-5230.451,,69225.104,,-2130.471,,17604.436,,-4422.733,,-841.821,,6023.232,,-2278.096,,14935.205,
2007-01,5688.649,,14607.635,,11824.079,,2925.593,,-10921.044,,57337.564,,-3080.341,,-5628.753,,-2284.008,,19932.061,,16210.552,,976.745,,-2783.556,,-4978.617,,458.105,,2954.749,,4075.883,,73548.116,,3126.303,,13272.248,,-15458.579,,-97.677,,6035.090,,-6002.323,,17006.468,
2007-02,4839.246,,13403.867,,11126.499,,4295.530,,8430.543,,59413.531,,-6398.910,,1630.554,,20298.755,,20175.646,,14569.824,,5213.752,,-2277.368,,7573.777,,-566.114,,2465.663,,3260.713,,73983.355,,3959.861,,10189.076,,10114.117,,-4.438,,8864.573,,-5613.034,,15880.116,
2007-03,702.423,,14269.428,,12236.410,,4751.940,,17513.121,,61526.565,,-2333.337,,11449.837,,18881.942,,20775.962,,19126.012,,4408.287,,-2033.018,,7541.486,,8.164,,7127.306,,-4273.398,,80652.577,,1225.768,,19511.597,,-464.113,,-165.542,,9460.643,,-2180.625,,16024.022,
2007-04,-15030.545,,14314.784,,12353.139,,350.177,,-6188.488,,59694.626,,-1618.441,,2466.116,,18798.147,,20954.015,,15541.348,,7989.035,,-1961.645,,3264.952,,1214.778,,3881.535,,9791.643,,75235.974,,5991.179,,12311.439,,6397.736,,88.972,,5499.976,,3110.989,,20603.838,
2007-05,10588.425,,15244.356,,12885.218,,-4835.127,,2092.063,,58414.718,,-424.137,,-6673.805,,19209.194,,21706.863,,17262.618,,14054.292,,-2359.138,,-14891.406,,656.588,,5862.744,,-557.371,,75677.336,,2963.622,,9644.216,,9276.026,,288.952,,6286.881,,13068.849,,26541.990,
2007-06,-9948.077,,15624.812,,13276.800,,3314.505,,72853.687,,60927.107,,-1740.684,,2248.270,,17069.525,,20444.845,,17400.989,,-3849.839,,-2348.012,,72078.880,,-512.721,,3213.400,,-54527.414,,78328.096,,3105.812,,16626.798,,598.235,,-155.508,,4954.084,,8474.614,,17130.340,
2007-07,922.817,,18396.392,,13876.423,,2708.673,,-2708.996,,59849.205,,-2735.048,,2294.404,,-2637.533,,19800.935,,17668.550,,10075.505,,-4519.969,,11325.760,,-121.116,,2686.341,,-19460.249,,77517.755,,9577.323,,13122.206,,-16035.596,,275.857,,5421.389,,-17251.977,,17092.262,
2007-08,19968.099,,19347.042,,13343.818,,2970.754,,5720.354,,59680.203,,-2723.202,,6351.262,,5022.278,,19448.945,,14705.030,,6395.364,,-6003.224,,-8651.527,,21.304,,2952.487,,-22237.173,,74385.233,,15122.429,,8949.358,,-3897.899,,-29.181,,5675.689,,-11947.480,,16478.191,
2007-09,-1588.584,,16400.878,,12786.497,,3206.195,,12366.605,,60299.792,,-2628.923,,-8767.583,,15845.679,,19066.510,,18943.925,,-211.564,,-3614.381,,21713.133,,446.748,,2980.560,,-3920.453,,79243.717,,7164.343,,15906.816,,-11.930,,-49.207,,5609.483,,1009.639,,15860.315,
2007-10,12880.002,,17022.183,,13436.258,,3570.500,,20832.991,,64984.865,,-3051.223,,25680.868,,24811.424,,19146.633,,18821.541,,12291.290,,-3585.925,,-11013.433,,-308.521,,2699.741,,-19611.315,,83806.406,,11606.979,,15754.893,,9295.312,,-238.781,,5750.964,,-6714.446,,15576.133,
2007-11,1553.070,,14489.259,,12564.045,,3355.447,,51922.823,,63919.984,,-3207.852,,5013.102,,28802.627,,19185.592,,20412.652,,5017.391,,-1925.214,,35774.344,,-339.152,,2568.252,,-37136.117,,84332.636,,9337.682,,18635.033,,10393.710,,-226.116,,5776.104,,9582.307,,15830.145,
2007-12,-6968.653,,15465.827,,16411.915,,9006.234,,15451.174,,58982.807,,-3447.802,,-18749.866,,19351.197,,24514.735,,11064.996,,2744.994,,946.088,,31671.584,,-4.858,,3096.777,,-9228.632,,70047.803,,10388.519,,17569.516,,3065.559,,-1283.878,,6544.579,,9498.109,,15508.501,
2008-01,15500.615,,15407.083,,13235.558,,1597.744,,-9953.927,,62565.115,,-3282.443,,13739.663,,5700.681,,17840.654,,17363.227,,13943.952,,-2171.525,,-31671.031,,311.322,,3450.823,,-9293.965,,79928.342,,10693.299,,13507.003,,-8353.445,,547.123,,6733.266,,-7523.174,,16242.910,
2008-02,11318.836,,14162.115,,12678.064,,3137.173,,-13652.859,,63074.527,,-4829.457,,-10982.987,,22774.063,,17352.227,,17087.085,,15891.151,,-1484.051,,-4307.920,,349.208,,2573.270,,11827.699,,80161.612,,8358.864,,13910.750,,8677.671,,185.642,,7402.727,,-9680.788,,14215.054,
2008-03,-28274.635,,14875.979,,12466.185,,3058.572,,9205.254,,62468.715,,-2855.651,,9280.448,,25114.516,,17230.850,,17573.625,,941.878,,-2409.794,,17016.698,,504.305,,9858.139,,15392.396,,80042.340,,-929.317,,15366.752,,10176.153,,-428.389,,12713.790,,11182.743,,14172.278,
2008-04,-598.483,,15562.301,,13621.183,,-2652.714,,-37803.529,,65550.378,,-1476.645,,-4778.724,,8499.613,,16977.329,,19717.768,,6103.868,,-1941.118,,-17231.186,,1088.991,,4382.121,,29857.208,,85268.146,,9253.075,,13647.291,,-4920.155,,-227.523,,5858.766,,-15195.136,,19630.043,
2008-05,-1115.215,,16414.395,,13609.983,,-4514.174,,5768.189,,62176.570,,-51.908,,-4045.284,,16921.712,,17499.496,,14820.713,,1904.499,,-2804.412,,3632.062,,-912.813,,5021.076,,3498.051,,76997.283,,6663.786,,7450.219,,9121.114,,350.379,,5072.984,,7296.626,,22013.670,
2008-06,1519.381,,16388.701,,13744.633,,1876.630,,35969.914,,64268.828,,-2559.652,,-16644.608,,13052.700,,15884.031,,20495.700,,7663.406,,-2644.068,,41711.054,,713.174,,3303.948,,-32523.766,,84764.528,,1229.972,,17168.610,,-4085.283,,-30.627,,5863.600,,9384.087,,14007.401,
2008-07,-4668.767,,19265.011,,14805.393,,1936.064,,-7579.593,,68243.002,,-2591.096,,17249.241,,-2294.646,,15300.406,,14518.280,,9090.261,,-4459.618,,1444.257,,-1224.874,,2706.063,,-8149.902,,82761.282,,5569.462,,9403.630,,-11369.993,,-328.283,,5297.159,,-21604.324,,13364.342,
2008-08,8499.705,,18281.652,,13202.313,,2476.144,,14450.897,,61265.048,,-2947.979,,583.630,,-1137.329,,14880.735,,10941.636,,-3865.244,,-5079.339,,-1623.288,,81.630,,2678.417,,-13690.198,,72206.684,,1885.586,,5390.462,,-6439.153,,-88.638,,5626.396,,6990.850,,12404.591,
2008-09,-11846.485,,18039.361,,14018.311,,2937.062,,26877.632,,67380.999,,-2371.412,,3558.569,,7980.373,,15080.168,,16314.177,,-1540.805,,-4021.050,,33730.080,,-486.684,,2790.327,,-10033.025,,83695.176,,-6836.745,,12858.777,,-4669.847,,-208.557,,5161.739,,1435.468,,12143.106,
2008-10,-51063.106,,17697.005,,14779.929,,2772.366,,24735.501,,68634.398,,-3734.362,,-17661.520,,10093.780,,14366.064,,17089.956,,6677.991,,-2917.076,,96751.848,,3373.110,,2422.022,,-20707.719,,85724.354,,-3985.103,,13210.884,,-2912.501,,-204.603,,6156.384,,-3291.721,,11593.698,
2008-11,23625.707,,14178.319,,13595.404,,3056.503,,16437.900,,63096.897,,-3304.483,,-1898.037,,8427.235,,14775.350,,9503.955,,7141.507,,-582.915,,-14073.758,,269.098,,2364.863,,-17994.071,,72600.852,,2572.801,,8673.060,,-141.586,,-104.239,,5669.346,,8783.988,,11718.847,
2008-12,20230.610,,15454.163,,16846.937,,8382.123,,15887.124,,55850.221,,-4142.094,,-10509.702,,6203.538,,20241.472,,8733.789,,-20684.725,,1392.774,,3075.891,,-2058.237,,3080.899,,19883.866,,64584.010,,-6824.490,,14366.592,,-7807.627,,-355.427,,7222.993,,3090.325,,11859.349,
2009-01,13807.971,,14611.873,,12570.911,,3612.783,,-63022.977,,54301.780,,-3515.647,,560.405,,-27582.771,,15497.753,,7315.187,,11028.117,,-2040.962,,-69734.931,,-2244.672,,2704.223,,29810.362,,61616.967,,-3153.601,,5371.361,,-31856.901,,-1097.231,,6219.870,,-7656.422,,11884.970,
2009-02,21688.259,,12690.416,,12205.716,,4875.645,,15878.152,,52698.349,,-3932.600,,2157.745,,6447.101,,14731.803,,8749.424,,-6548.330,,-484.700,,5704.351,,270.940,,2579.940,,-4341.482,,61447.773,,1187.821,,9207.769,,-2625.712,,-134.956,,6512.540,,-13672.203,,9856.158,
2009-03,17694.972,,13583.534,,13452.839,,5368.467,,18428.436,,55204.721,,-3028.504,,16222.450,,24582.871,,14908.947,,11144.099,,9760.107,,-130.695,,-20093.132,,1652.404,,10809.030,,9872.599,,66348.820,,-15130.675,,13353.367,,10973.038,,256.466,,13837.534,,4604.146,,9540.480,
2009-04,-3246.149,,13844.369,,13519.553,,372.608,,-13301.417,,51612.663,,-2281.385,,-1104.588,,7501.738,,15113.341,,10414.766,,6007.211,,-324.816,,-735.385,,589.842,,3834.066,,15110.262,,62027.429,,-904.160,,8181.173,,-980.700,,301.265,,6115.451,,-8215.295,,14740.733,
2009-05,-14185.515,,14061.148,,13106.494,,-1937.803,,33666.340,,47497.156,,-318.532,,1382.619,,10810.564,,15138.037,,10117.885,,1723.019,,-954.654,,32585.784,,-342.337,,4315.562,,-29958.436,,57615.041,,5721.978,,6906.896,,3837.600,,66.068,,4634.094,,13883.452,,17075.840,
2009-06,29766.640,,16138.076,,13419.516,,5247.486,,19515.650,,49930.254,,-2263.741,,-1512.103,,31752.534,,14769.136,,13614.641,,5212.406,,-2718.560,,-22521.883,,-288.319,,2590.413,,11503.964,,63544.895,,-4191.167,,13879.826,,18155.688,,-282.980,,4854.154,,13782.996,,9521.650,
2009-07,-7834.171,,18035.686,,13874.373,,5308.972,,-33795.200,,51985.509,,-2239.706,,-881.853,,4259.216,,14634.952,,15519.272,,4526.371,,-4161.313,,-14842.189,,92.343,,2519.956,,33944.543,,67504.781,,-508.841,,14427.225,,-10156.381,,-11.628,,4759.662,,-10236.987,,9325.980,
2009-08,-16544.626,,16519.409,,12963.432,,5296.087,,6269.381,,48084.669,,-3032.560,,6077.585,,5915.737,,14477.390,,8804.062,,2231.899,,-3555.977,,18867.019,,9793.322,,2322.211,,-19083.035,,56888.731,,6704.170,,7511.612,,-1674.573,,78.698,,5354.771,,-2130.597,,9181.303,
2009-09,15700.144,,16139.933,,13599.966,,4989.969,,-12327.964,,56132.676,,-2316.628,,3163.441,,4128.878,,14246.810,,11891.364,,5384.122,,-2539.967,,-29506.058,,-306.597,,2454.269,,10005.631,,68024.040,,1373.686,,12024.738,,-8094.948,,199.088,,4770.897,,-1685.491,,9256.841,
2009-10,-27033.386,,16064.830,,13218.742,,5407.774,,-1237.061,,55812.094,,-4706.988,,7240.933,,20968.433,,14545.913,,13220.814,,6104.435,,-2846.088,,20358.276,,651.313,,2273.970,,14395.831,,69032.908,,1053.915,,11075.512,,10078.482,,-185.561,,6980.958,,-1802.884,,9138.139,
2009-11,5492.557,,13222.451,,13080.690,,5271.767,,11065.925,,53962.497,,-3565.902,,-901.114,,16290.495,,14616.937,,15473.008,,-631.102,,-141.761,,-671.178,,-1522.044,,2288.808,,5013.812,,69435.505,,2363.904,,17037.112,,-1027.164,,280.547,,5854.710,,7145.660,,9345.170,
2009-12,16888.554,,15059.250,,17316.487,,10710.390,,29108.633,,52133.868,,-3561.460,,-16682.115,,24617.786,,20834.388,,14361.636,,-12595.752,,2257.237,,17633.384,,301.908,,2785.886,,9162.798,,66495.504,,-1359.801,,23767.803,,2177.345,,-1327.362,,6347.346,,11268.810,,10123.998,
2010-01,-2418.713,,13996.194,,12782.296,,4547.531,,-45777.850,,52000.755,,-4253.034,,10899.155,,-15925.452,,15218.875,,8025.628,,13791.295,,-1213.898,,-49331.595,,55.357,,2903.466,,15495.892,,60026.383,,509.854,,7106.227,,-22814.000,,-217.679,,7156.500,,-4926.697,,10671.344,
2010-02,17262.308,,13269.311,,11925.811,,4609.207,,18483.225,,52706.784,,-6427.903,,8562.697,,11824.230,,15141.085,,14152.207,,7885.036,,-1343.500,,-4346.178,,781.889,,2596.588,,-14552.118,,66858.991,,-773.802,,10990.011,,165.394,,668.825,,9024.491,,-2995.602,,10531.878,
2010-03,8979.641,,15439.253,,14125.839,,4869.528,,-653.191,,65593.815,,-2692.857,,3918.786,,20573.504,,15758.169,,16189.176,,10598.540,,-1313.414,,-22515.581,,-186.671,,5768.377,,8055.826,,81782.991,,2759.000,,17052.433,,3459.954,,61.117,,8461.234,,8963.963,,10888.641,
2010-04,1475.729,,15010.732,,14155.797,,831.744,,-6167.245,,58740.587,,-1860.027,,14808.510,,5309.557,,15953.369,,13491.801,,1422.685,,-854.935,,-15831.731,,116.318,,3852.497,,7851.577,,72232.388,,2086.222,,11608.583,,-6652.554,,353.528,,5712.524,,-6619.753,,15121.625,
2010-05,38504.999,,15858.871,,13900.133,,-2133.520,,22173.384,,63117.019,,-1199.229,,-9529.678,,566.091,,16550.581,,10547.868,,3909.262,,-1958.738,,-6029.339,,671.107,,4733.599,,-29799.195,,73664.887,,3611.533,,5256.381,,-4768.871,,78.581,,5932.828,,-772.598,,18684.101,
2010-06,-4947.845,,18713.156,,15086.490,,4296.713,,-31030.671,,67097.548,,-2357.543,,-9152.713,,12313.547,,16842.173,,14797.062,,21075.984,,-3626.666,,-28229.244,,13.770,,3296.346,,22918.124,,81894.610,,-663.660,,13109.566,,-781.913,,-14.106,,5653.889,,11299.131,,12545.460,
2010-07,20952.184,,18914.068,,14783.782,,4300.693,,-16976.478,,64199.222,,-3358.768,,7874.887,,-16139.121,,16086.577,,13361.816,,-4132.926,,-4130.286,,-39163.138,,-20.090,,3136.203,,4638.617,,77561.038,,351.756,,10173.455,,-26677.199,,364.623,,6494.971,,-6640.411,,11785.884,
2010-08,9837.581,,19303.445,,14564.971,,4251.120,,24575.791,,62009.852,,-3224.060,,11998.916,,14996.055,,15896.943,,9589.072,,-2040.951,,-4738.474,,1117.695,,-118.916,,3136.643,,-9436.296,,71598.924,,2016.427,,5877.658,,9069.644,,48.753,,6360.703,,1621.599,,11645.823,
2010-09,24453.081,,18198.269,,15316.094,,4373.059,,23820.968,,66209.774,,-3278.125,,2763.245,,16918.174,,16132.466,,17604.566,,-5499.240,,-2882.175,,-5131.997,,-205.015,,3225.229,,-5410.800,,83814.340,,4212.261,,15817.325,,1287.129,,-186.280,,6503.354,,1736.639,,11759.407,
2010-10,-26671.071,,17151.697,,14457.940,,4683.377,,-130015.646,,68034.461,,-3426.085,,17374.325,,-10006.836,,16292.384,,15123.112,,8411.129,,-2693.757,,-80973.900,,-234.073,,3153.171,,112672.643,,83157.573,,-840.889,,13686.647,,-23518.386,,-175.097,,6579.256,,-39745.000,,11609.007,
2010-11,13572.794,,16058.822,,14951.551,,5044.248,,53387.859,,69549.016,,-3530.316,,7249.380,,27125.770,,16750.614,,15106.951,,2050.563,,-1107.271,,14501.767,,-80.560,,3189.441,,-32479.927,,84655.967,,4247.835,,15513.612,,11412.037,,200.121,,6719.757,,18063.918,,11706.366,
2010-12,21840.435,,17646.668,,18254.970,,11632.420,,7791.498,,64947.239,,-3973.580,,-16526.773,,25201.766,,24191.309,,12839.415,,-12313.777,,608.302,,18801.326,,820.346,,3635.712,,32880.989,,77786.654,,-3977.290,,21106.557,,4058.927,,36.282,,7609.292,,-16323.490,,12558.889,
2011-01,-22901.420,,15940.217,,14009.187,,4490.103,,-8604.033,,66923.003,,-3735.060,,12744.356,,6179.507,,16894.097,,10026.012,,10249.747,,-1931.030,,-18694.810,,182.111,,3799.842,,4786.100,,76949.015,,-434.418,,8850.025,,-3359.160,,688.642,,7534.902,,20247.841,,12403.994,
2011-02,18452.824,,14970.934,,12931.171,,6176.428,,38111.478,,68828.933,,-6248.201,,19931.006,,21138.437,,17046.292,,12893.133,,9160.709,,-2039.763,,11941.959,,22.515,,3284.652,,-28304.270,,81722.066,,2148.005,,10781.597,,9648.535,,708.305,,9532.853,,-12214.311,,10869.864,
2011-03,299.960,,16792.576,,15387.704,,6492.359,,9433.544,,76523.164,,-2579.290,,-578.790,,29780.240,,17493.664,,19363.219,,5449.701,,-1404.872,,9667.508,,1188.160,,6418.310,,8502.129,,95886.383,,5206.706,,21871.416,,7902.394,,6.430,,8997.600,,44.866,,11001.305,
2011-04,-15001.834,,15523.676,,13771.905,,3079.353,,482.884,,71005.798,,-1189.207,,-5714.487,,20506.616,,17537.929,,11174.119,,5221.299,,-1751.771,,19821.276,,562.659,,4892.160,,16141.809,,82179.917,,-1902.035,,11312.494,,9395.584,,-201.462,,6081.367,,1377.929,,14458.576,
2011-05,11753.906,,17119.095,,15127.657,,-4109.731,,47809.802,,73592.405,,-334.712,,17067.007,,14962.571,,18932.557,,15424.652,,1302.500,,-1991.438,,18438.414,,-23.618,,6612.425,,-41284.962,,89017.057,,7158.849,,8988.771,,5826.880,,146.920,,6947.137,,550.475,,23042.288,
2011-06,10522.481,,19159.137,,15104.819,,6532.452,,17118.296,,72783.683,,-2260.188,,-10240.556,,5853.495,,18488.694,,12940.939,,-6102.579,,-4054.318,,13107.469,,-101.398,,3946.166,,-5306.743,,85724.622,,245.919,,13158.885,,-7313.801,,8.411,,6206.354,,3728.902,,11956.242,
2011-07,2729.644,,19550.577,,14728.098,,6341.471,,-6744.750,,71622.528,,-3108.679,,737.050,,-7781.645,,17830.434,,11339.363,,-1498.619,,-4822.479,,1980.646,,427.938,,3675.859,,-537.609,,82961.891,,571.395,,9749.676,,-17411.808,,-119.513,,6784.538,,-12192.090,,11488.963,
2011-08,39630.664,,20737.944,,14805.478,,6512.712,,41154.134,,70747.081,,-2767.105,,11725.665,,7402.754,,17641.545,,11919.617,,1023.385,,-5932.466,,-8872.464,,-108.689,,3591.815,,-38742.465,,82666.698,,4076.389,,9732.758,,-2852.561,,522.557,,6358.920,,-1329.731,,11128.833,
2011-09,56332.572,,19788.860,,16641.406,,7305.952,,-7551.815,,73955.003,,-2759.621,,-9242.969,,167.435,,18531.416,,17951.112,,-3530.901,,-3147.454,,-51499.976,,319.926,,3868.664,,6105.146,,91906.115,,4825.079,,19349.989,,-19023.472,,-159.082,,6628.285,,-3141.442,,11225.464,
2011-10,14696.739,,18793.699,,15859.832,,7115.776,,-15351.246,,74611.221,,-3285.481,,8533.854,,13049.639,,18016.208,,10732.468,,3875.182,,-2933.867,,-40881.575,,-54.871,,3385.422,,19092.647,,85343.689,,5487.927,,11628.896,,1463.107,,-42.364,,6670.903,,2299.736,,10900.432,
2011-11,27370.851,,17070.780,,15349.835,,6607.565,,20918.546,,73903.332,,-3215.637,,-7630.475,,5099.190,,17745.025,,17043.278,,-9705.233,,-1720.945,,-2834.459,,-263.202,,3584.420,,-5400.224,,90946.610,,-450.697,,18714.261,,-14022.686,,407.615,,6800.057,,4012.629,,11137.460,
2011-12,-65962.706,,18431.482,,20232.095,,12542.593,,-20523.232,,70028.145,,-3303.796,,-47875.950,,4499.243,,24237.715,,12162.139,,-7952.937,,1800.613,,94258.712,,684.053,,3941.415,,30633.285,,82190.284,,1658.074,,23201.549,,-17154.698,,-1547.608,,7245.211,,-943.288,,11695.122,
2012-01,69106.269,,17623.326,,14892.333,,5006.208,,-46519.958,,69867.456,,-3834.709,,22057.547,,5919.426,,17077.115,,14400.477,,10623.380,,-2730.993,,-142636.690,,140.182,,3707.662,,41143.034,,84267.933,,532.788,,12840.983,,-6354.985,,-566.572,,7542.371,,4952.916,,12070.907,
2012-02,46417.826,,16411.317,,14514.199,,6290.450,,29359.812,,72698.367,,-7099.080,,-4502.838,,61.597,,16405.493,,17206.075,,6013.561,,-1897.118,,-17959.041,,546.767,,3504.271,,-37754.992,,89904.442,,1896.449,,14500.327,,-14732.964,,294.234,,10603.351,,5403.865,,10115.043,
2012-03,61421.218,,18244.533,,16298.855,,6403.619,,-7959.014,,78464.317,,-3142.025,,-8805.943,,10516.964,,16862.678,,18530.541,,-979.139,,-1945.678,,-73289.420,,275.736,,8099.917,,19318.277,,96994.858,,-138.896,,19846.457,,-9393.502,,64.009,,11241.942,,12715.131,,10459.059,
2012-04,27060.149,,16371.429,,15385.731,,1241.895,,-12928.435,,69374.174,,-2225.555,,-23804.037,,8368.807,,16894.964,,15059.548,,7668.285,,-985.698,,-16272.626,,580.668,,4938.618,,10255.884,,84433.722,,2792.405,,13090.190,,-5001.658,,280.275,,7164.173,,88.079,,15653.069,
2012-05,12439.472,,19038.794,,15878.542,,-719.058,,36945.925,,73694.548,,-1120.252,,-2140.523,,11610.824,,17303.399,,16547.196,,2882.924,,-3160.252,,19979.851,,207.256,,5709.410,,-32619.613,,90241.744,,4194.332,,11547.634,,-249.863,,313.053,,6829.662,,6667.125,,18022.457,
2012-06,-4330.158,,20157.444,,17402.746,,5565.631,,16331.391,,73358.759,,-2106.391,,9311.067,,8292.372,,16634.963,,18870.431,,-1025.097,,-2754.698,,7041.056,,-19.379,,4383.218,,-8772.917,,92229.190,,1778.374,,19574.973,,-11212.151,,-70.450,,6489.609,,4309.426,,11069.332,
2012-07,-21607.468,,21229.506,,16727.391,,5751.255,,-15587.151,,72911.616,,-2129.835,,2981.711,,634.006,,16525.234,,17856.874,,3854.828,,-4502.115,,3842.244,,-48.197,,3930.919,,7367.661,,90768.490,,5046.865,,16976.179,,-16303.842,,-38.331,,6060.754,,-803.638,,10773.979,
